no,Feature,Accuracy,Precision,Recall,F1
0,TF-IDF,0.8719380572501173,0.8382402707275803,0.8515929406371763,0.8448638508328122
1,TF-IDF,0.873835657748903,0.8446950804695339,0.8478595075678719,0.8462436413791177
2,TF-IDF,0.8742667876311317,0.8420990570904178,0.8530003868162006,0.8474590936886339
3,TF-IDF,0.8738942809716007,0.8454756646248143,0.8470568803700301,0.8461466746113914
4,TF-IDF,0.8738315205069849,0.8432838147522028,0.8500956532760837,0.8465487228477198
5,TF-IDF,0.8739060127365331,0.8447233186574915,0.8482029202324575,0.8463370457266469
6,TF-IDF,0.8734908010222774,0.8433337126597096,0.8489818946938631,0.8460350126337041
7,TF-IDF,0.8740350811446218,0.8449082776470134,0.8483176105791932,0.8464999722738271
8,TF-IDF,0.8741983452397681,0.8441437340263085,0.8499166699685782,0.8469098830599484
9,TF-IDF,0.873985794023314,0.8447825334646266,0.8483404757510901,0.8464452574434571
0,Bag of Words,0.8626466447677147,0.7935013665350744,0.8983497593399037,0.8426766998118785
1,Bag of Words,0.8636993137490082,0.7936926408170795,0.901438489985138,0.8441391642207362
2,Bag of Words,0.8601887181602179,0.7871329312748349,0.9029301141118736,0.8410212306590114
3,Bag of Words,0.8617518910534077,0.7900548931292989,0.9023551787071143,0.8424349241794756
4,Bag of Words,0.8619683828568039,0.7908203755588428,0.9015311748245044,0.8425161419351177
5,Bag of Words,0.8589048551588387,0.7834003160109547,0.9073218242926266,0.840523911172356
6,Bag of Words,0.8594259890099156,0.7847188401316946,0.906236557949392,0.8408474810363142
7,Bag of Words,0.8587894715770688,0.7820511573577591,0.9096618592658898,0.8407374213450096
8,Bag of Words,0.8595361025833395,0.7834115729345876,0.9092835596255536,0.8413877412871555
9,Bag of Words,0.8600013763646132,0.7845705674169055,0.9084067795942304,0.8416965165995405
0,Word Embedding,0.9324260910370716,0.9070391061452514,0.9303231721292688,0.9185336048879836
1,Word Embedding,0.9343720393708989,0.9092376678816496,0.9328406691591904,0.9208879348609836
2,Word Embedding,0.934818337525226,0.9101459004515656,0.93291830384927,0.9213910200534652
3,Word Embedding,0.9350759287504709,0.9101228002829452,0.9336428826147462,0.9217320823537678
4,Word Embedding,0.9345741170031922,0.9087555380021668,0.9340103409302108,0.9212059665079086
5,Word Embedding,0.9349429763332012,0.909680977685244,0.9338529345383084,0.9216036069151172
6,Word Embedding,0.9349454243746268,0.9104366382356044,0.9329230254524684,0.9215338827627584
7,Word Embedding,0.93484715575574,0.9095312875310436,0.9338004839471276,0.9214923861144088
8,Word Embedding,0.9351569065813576,0.9099998935242568,0.934050782888699,0.921856175146638
9,Word Embedding,0.9347708794456772,0.9094691941060636,0.9336657619064196,0.921397501574108
std_dev,-,0.03277531936342384,0.05082941246838562,0.0355057821638646,0.037021191181932235
