no,Feature,Accuracy,Precision,Recall,F1
0,majority,0.8863444392304083,0.9108446298227321,0.8008251203300482,0.8522990608610806
1,majority,0.8848635237589931,0.9107395036452434,0.7969168581592934,0.8500299445700981
2,majority,0.8859359202660455,0.9098234189359745,0.800817213255252,0.8518293829412583
3,majority,0.8838545400399771,0.9098230110732123,0.7951687838669405,0.8485952889973942
4,majority,0.8839583387424461,0.9087419014961313,0.796620931287914,0.8489515287446727
5,majority,0.88341656265204,0.9087459783391997,0.795140174354064,0.8481153047331996
6,majority,0.8835666803022715,0.90840099351752,0.7959195666232503,0.8484114945314802
7,majority,0.8836844568839911,0.9088098598641074,0.7957992483025074,0.848525489662636
8,majority,0.8841625017445268,0.9093553016193334,0.7965104785889098,0.849171074583599
9,majority,0.8834744415367549,0.9089370128367105,0.7950829264320245,0.8481765001716578
0,wight,0.8844673862036603,0.8630883375840482,0.8531973412789365,0.8581143384047948
1,wight,0.8869284230281523,0.8686181993443156,0.852902395567835,0.8606788692314081
2,wight,0.886827614413575,0.8652802089741068,0.8571645124703894,0.8611632239371222
3,wight,0.8865998980080789,0.8680240017807954,0.852873384352792,0.8603086049737323
4,wight,0.8865488062525447,0.866153384401423,0.8552530966639893,0.8605890102779468
5,wight,0.8865451418193985,0.867481994416063,0.8534558995600102,0.8603311123891366
6,wight,0.8863019496750573,0.8666450832475058,0.8538609914109541,0.8601337112646543
7,wight,0.8868932007566086,0.868045357790818,0.853689972069112,0.8607400349190797
8,wight,0.8870460027372994,0.8674786228323268,0.8548831024804616,0.861067342986155
9,wight,0.8868345274342391,0.8678710802649023,0.8537386317739628,0.8606798864976735
0,meta,0.9016424213984046,0.9515118496322528,0.8005959202383681,0.8695543938262384
1,meta,0.9018278276216294,0.9532062332465582,0.7994956678555738,0.8696086575872766
2,meta,0.9016878150044398,0.9531656199576517,0.7991748183747984,0.8694025915789384
3,meta,0.9007015457059087,0.9533624257865467,0.796458477677947,0.8678661890560269
4,meta,0.9008240239884717,0.953478151732733,0.7966671259424951,0.8680399083636031
5,meta,0.9007875829919417,0.9533518424459541,0.7966877434430056,0.8680010512525304
6,meta,0.9009700366115819,0.9531501642826645,0.7973442830244917,0.8683064381101406
7,meta,0.9008305972305914,0.953239281779283,0.7969026086779489,0.8680816576801651
8,meta,0.9007643788303417,0.9537205521898304,0.796294309554973,0.8679179297615187
9,meta,0.9009925070930676,0.9530938268996204,0.797467170863086,0.8683462283355338
