no,Feature,Accuracy,Precision,Recall,F1
0,TF-IDF,0.9730796841349604,0.930635838150289,0.8632707774798928,0.8956884561891516
1,TF-IDF,0.9700287150035892,0.9190751445086706,0.8514214849966308,0.8839553392056869
2,TF-IDF,0.970088537927734,0.9215402924175452,0.8491156638136609,0.8838337137481579
3,TF-IDF,0.969400574300072,0.9152448551675004,0.8507404911757537,0.8817535342851266
4,TF-IDF,0.9686288585786074,0.9134275556882526,0.8462760390532035,0.8785120711255804
5,TF-IDF,0.968533141899976,0.9110495737178016,0.8482781608865823,0.8784682216060182
6,TF-IDF,0.9689775407650496,0.9126730336300368,0.8500369682359904,0.8801770411467474
7,TF-IDF,0.968548097631012,0.9118929979935336,0.8473919728749408,0.8783951344670913
8,TF-IDF,0.9680944404562494,0.9101219712415224,0.8455816643011091,0.8766077597673789
9,TF-IDF,0.9683058147882267,0.9096390220282338,0.8479218935929234,0.8776236550048292
0,Bag of Words,0.9723618090452262,0.9134078212290504,0.8766756032171582,0.8946648426812586
1,Bag of Words,0.9678750897343862,0.9009896249002394,0.8541132026780978,0.876890432390353
2,Bag of Words,0.9687724335965542,0.9079061267450872,0.8535911074154253,0.8798582455490004
3,Bag of Words,0.967067480258435,0.8959833584996756,0.854097073877077,0.874370895957997
4,Bag of Words,0.9666905958363244,0.8960970316273267,0.850569884302734,0.8725896432573823
5,Bag of Words,0.9665589854032064,0.8948440908872105,0.8509650996640429,0.8722239751110291
6,Bag of Words,0.9669264690800944,0.8958607613767127,0.8527230536377358,0.8736479473554418
7,Bag of Words,0.966753409906676,0.8968868871348561,0.8500765222003985,0.872728862014006
8,Bag of Words,0.9666586902767806,0.8966646067461347,0.849457355450101,0.8723107125948252
9,Bag of Words,0.9669418521177316,0.8957380924522182,0.8530142937018825,0.8737007926070964
0,Word Embedding,0.9242641780330224,0.753125,0.646112600536193,0.6955266955266955
1,Word Embedding,0.9192390524048816,0.7401988636363637,0.6118263537440323,0.6696709483594729
2,Word Embedding,0.9175640105288346,0.7355830262080262,0.6000200713968259,0.6606974234703412
3,Word Embedding,0.9179827709978464,0.733994961963712,0.6084375134406675,0.665050964598464
4,Word Embedding,0.9169418521177316,0.7323348584598584,0.598814353916073,0.6585158095002538
5,Word Embedding,0.91750418760469,0.7315365337464889,0.6073007316502034,0.6631699542445618
6,Word Embedding,0.9176494718490412,0.7327643973466145,0.6067173640111664,0.6633881312811585
7,Word Embedding,0.9166816223977028,0.7279196363218208,0.6044071052744763,0.6600594050302033
8,Word Embedding,0.9168461354391004,0.72849734018174,0.6051685439794571,0.6607935452120326
9,Word Embedding,0.917013639626705,0.7294340139305562,0.6056142564264311,0.661478465947052
std_dev,-,0.02421683404346685,0.08344686319027302,0.116798377664958,0.10247887383035517
