no,Feature,Accuracy,Precision,Recall,F1
0,TF-IDF,0.8432278356595243,0.7227660246289864,0.7614770459081837,0.7416167179653329
1,TF-IDF,0.8433752702968351,0.7232772156721112,0.7609381901753897,0.741629520943069
2,TF-IDF,0.8429984928903741,0.7230491256689193,0.7594544687662944,0.7408035584119078
3,TF-IDF,0.8428838215057991,0.724468128894663,0.7555309514083315,0.7396441707852154
4,TF-IDF,0.8426184391586397,0.7238003914406035,0.7556556327168182,0.7393606760240801
5,TF-IDF,0.8427855317475919,0.7236015016832905,0.7570008808413862,0.739900277531257
6,TF-IDF,0.8421466483192451,0.7223350742913982,0.7564997570029105,0.739000700579134
7,TF-IDF,0.8424415175938667,0.7223448467727134,0.7580687349649011,0.7397510159725709
8,TF-IDF,0.8424196754253761,0.7225784518573501,0.75741246907799,0.7395614275413295
9,TF-IDF,0.8420876744643208,0.7215233345079449,0.7581104900570462,0.7393334183131153
0,Bag of Words,0.8430312561431099,0.7276252019386107,0.7491683300066534,0.7382396328470743
1,Bag of Words,0.8448004717908394,0.7317864571784557,0.749292983638934,0.7404306160937761
2,Bag of Words,0.8432933621649957,0.7288915638055617,0.7476989817739268,0.7381704844875844
3,Bag of Words,0.8439158639669746,0.7318631731895167,0.7445512745999958,0.738110909966657
4,Bag of Words,0.8443876548063691,0.7332388829224742,0.744077480092505,0.7385803310267607
5,Bag of Words,0.8439813904724461,0.7319801676481038,0.7446347275867935,0.7382158496261256
6,Bag of Words,0.844112443483389,0.7323486850912787,0.744522001081428,0.7383526644965375
7,Bag of Words,0.8443827403184588,0.7325556678212217,0.7454667343073144,0.7389251166086978
8,Bag of Words,0.8447895507065941,0.7338981569194297,0.7447691293938898,0.7392560116469818
9,Bag of Words,0.8443974837821899,0.7326630726852873,0.7454003695327038,0.7389322366684895
0,Word Embedding,0.863278946333792,0.7787366240938902,0.7504990019960079,0.7643571065559884
1,Word Embedding,0.8620994692353057,0.7747565954256916,0.751788602495508,0.7630908576038653
2,Word Embedding,0.8609527553895551,0.772607522663443,0.750138953005433,0.7612013724556582
3,Word Embedding,0.8615097306860625,0.7740054867716423,0.7502914027740415,0.7619579399108494
4,Word Embedding,0.8607823864753292,0.773635652501752,0.7474719778413224,0.7603156707297695
5,Word Embedding,0.8615588755651661,0.7739950958980099,0.7505139471473027,0.7620505875519809
6,Word Embedding,0.8625066696621639,0.7754290469592241,0.7525078201097212,0.7637759818517448
7,Word Embedding,0.8617063102024769,0.7741088726035872,0.7509984191351075,0.7623604602785452
8,Word Embedding,0.8621977589935129,0.7750599423907173,0.7516821905581823,0.7631758557227395
9,Word Embedding,0.8618537448397877,0.7742751478789802,0.7514224573592692,0.7626622775591202
