no,Feature,Accuracy,Precision,Recall,F1
0,majority,0.8556123451936308,0.8507530807850296,0.6200931470392548,0.7173369251491245
1,majority,0.8566443876548064,0.850006419261963,0.6250216151169652,0.7203421347182382
2,majority,0.8561693204901383,0.8501643160877649,0.6229352350946101,0.7190110668966957
3,majority,0.8556860625122862,0.8495747909963538,0.6215275494490774,0.7178641156934152
4,majority,0.8548850009828974,0.8468199943044855,0.6211741353676452,0.7166408627553053
5,majority,0.8554812921826879,0.8473164682085882,0.6230804982750343,0.7180833337408289
6,majority,0.8557527591339268,0.8482098019583001,0.6232715458078376,0.7185327984829446
7,majority,0.8554526243365441,0.847686077850393,0.6225672614836882,0.7178783816087795
8,majority,0.8553611602559902,0.8480581228401961,0.6218118394381509,0.7175067696266421
9,majority,0.8553567918222921,0.846797168324229,0.6231581097372643,0.717930005707456
0,wight,0.8500098289758207,0.7522154055896387,0.7341982701264138,0.7430976430976431
1,wight,0.8510910163160998,0.7541356795945464,0.7358179370598792,0.7448641854302231
2,wight,0.8515824651071359,0.7547398978851474,0.7371631667336431,0.7458475874175036
3,wight,0.8519756241399646,0.757536795993938,0.7339039890269379,0.7454958513568328
4,wight,0.851543149203853,0.7567153078513918,0.7332975092521558,0.7447924933110658
5,wight,0.8517462813708145,0.7565144802909898,0.73465308244668,0.7453944834248803
6,wight,0.8513718441966919,0.7557914104569899,0.7341603932614923,0.7447938937581664
7,wight,0.8514841753489286,0.7556827251546184,0.7349028233051369,0.7451243327231545
8,wight,0.8516043072756263,0.7564256821351157,0.7341222405131194,0.7450798848924068
9,wight,0.8515922940829566,0.7559685488508017,0.7349196670441702,0.7452662524574285
0,meta,0.8543345783369373,0.8284482758620689,0.6393878908848969,0.7217423957942171
1,meta,0.8609199921368194,0.8286743165733528,0.6671149105006847,0.7388581638637993
2,meta,0.8628857873009633,0.8293151164019923,0.6747277491605806,0.7438289994236462
3,meta,0.8622223314330647,0.8317293779867191,0.6690241812547949,0.7412987158598695
4,meta,0.8608020444269707,0.831589206797327,0.6631634567802831,0.7376254388533091
5,meta,0.861935652971627,0.8310221484461757,0.6686650548044234,0.7407651272069025
6,meta,0.8624645454800753,0.8305805804494346,0.6714686307600314,0.7423244362694691
7,meta,0.8614974444662866,0.8305193567907908,0.6674019404341622,0.7397933777869323
8,meta,0.8618592053819103,0.830397876116201,0.6690944726680245,0.7408057924205012
9,meta,0.8614704147827796,0.8306629561390814,0.6671101501932353,0.7397007134589821
std_dev,-,0.004255820197418452,0.040929422338519754,0.04733753996945624,0.012186812784135418
