no,Accuracy,Precision,Recall,F1,Feature
0,0.9825903331769122,0.9884115650239964,0.968793024323084,0.9785039689437396,
1,0.9869777420260646,0.9907383761319704,0.9772831574116568,0.9839548863604004,
2,0.9883621361669148,0.9919700813627106,0.9794630564479118,0.9856698300402938,
3,0.9901335853247732,0.9927710804980756,0.9830197338228543,0.9878602145418168,
4,0.9911964975418458,0.99343408553349,0.9849701698026616,0.9891734213030506,
5,0.9922726768861042,0.9940693731675876,0.986977971546581,0.990499748198134,
6,0.9930480959084084,0.9945395007534744,0.9884121156493804,0.9914552975588442,
7,0.9935827181589112,0.9950062730798792,0.9892582606700322,0.9921140202390248,
8,0.9940559038100588,0.9953822910246328,0.9900438529396768,0.9926967343487296,
9,0.9945470706677784,0.9957751439345748,0.9908558972005508,0.993300783792975,
std_dev,0.0037713595701802573,0.0023080936896643645,0.006978417618060285,0.004665477965516533,-
