no,Accuracy,Precision,Recall,F1,Feature
0,0.9844673862036604,0.9904082348812726,0.9714318494722348,0.9808282652765712,
1,0.9890660174718148,0.991926371609699,0.9812413951353832,0.9865372731816202,
2,0.990692846310789,0.9934228379429056,0.9837463668349394,0.9885486034666988,
3,0.9922805104194214,0.9941493815258956,0.986920605782469,0.9905079936428738,
4,0.993289448222914,0.9947910732850472,0.9887563102340522,0.9917520122726596,
5,0.9941263023519824,0.9954103572267806,0.9901904543368516,0.992782284746024,
6,0.9947709929525004,0.995901948879251,0.9912804038549792,0.993575605995194,
7,0.9952369047220296,0.9962849246442008,0.992040500229463,0.9941490077546936,
8,0.995552362047091,0.9965826757091444,0.992516954770282,0.9945374398172828,
9,0.995954890167315,0.9968785102610068,0.9932078935291418,0.995032063685936,
std_dev,0.0036021485911266133,0.002125293565609901,0.006765192871212258,0.004452072564247416,-
