no,Accuracy,Precision,Recall,F1,Feature
0,0.9687939934303144,0.9810013143744772,0.9419458467186784,0.9610769681006732,
1,0.9775923601766054,0.983352859170176,0.9614502065167508,0.9722003586909346,
2,0.981416962157468,0.9861579447607935,0.9681046351537402,0.9769881175656728,
3,0.984995097609466,0.9884696934930536,0.9746156493804498,0.9814351929902811,
4,0.987095092634734,0.9896743321234928,0.9785910968334098,0.9840467317212748,
5,0.9889017679913628,0.9911652859692094,0.9815473458773136,0.9862844442879832,
6,0.9901721529488212,0.992131991239383,0.983708122992198,0.9878583960543986,
7,0.991312642840496,0.9930294140606166,0.9856155346489216,0.9892685172257788,
8,0.992147553842472,0.993727321671408,0.9869715975727908,0.9903014359316884,
9,0.9928764842248026,0.99430867582199,0.9881826525929324,0.9912024376219716,
std_dev,0.007651237858656935,0.004534248465091971,0.01447296416463612,0.009559734535718102,-
