no,Accuracy,Precision,Recall,F1,Feature
0,0.9996410624551328,1.0,0.9973190348525468,0.9986577181208054,
1,0.9998205312275664,1.0,0.9986595174262736,0.9993288590604028,
2,0.9998803541517112,1.0,0.9991063449508488,0.9995525727069352,
3,0.9998205312275664,1.0,0.9986613095152757,0.9993297575087824,
4,0.9998564249820532,1.0,0.9989290476122206,0.9994638060070258,
5,0.9998205312275664,1.0,0.9986619068782764,0.9993300569915756,
6,0.9998461696236284,1.0,0.9988530630385226,0.999425763135636,
7,0.9998205312275664,0.9996666666666668,0.9989964301587072,0.9993306535581008,
8,0.9998404722022812,0.9997037037037038,0.999107937918851,0.9994050253849784,
9,0.9997487437185932,0.9997333333333334,0.9983950050895328,0.9990618382827222,
std_dev,6.83743577267129e-05,0.00014517384687392826,0.000526025986205525,0.0002558172240278619,-
