no,Accuracy,Precision,Recall,F1,Feature
0,1.0,1.0,1.0,1.0,
1,0.9996410624551328,1.0,0.997326203208556,0.9986595174262736,
2,0.999760708303422,1.0,0.998217468805704,0.9991063449508488,
3,0.9996410624551328,1.0,0.997326203208556,0.9986595174262732,
4,0.9996410624551328,1.0,0.9973247695373544,0.9986591575651798,
5,0.9994017707585549,0.9978012313104662,0.9977706412811286,0.9977759469306998,
6,0.9994872320787612,0.9981153411232568,0.9980891210981102,0.9980936687977426,
7,0.999551328068916,0.9983509234828496,0.9983279809608464,0.998331960198025,
8,0.999601180505703,0.9985341542069774,0.9985137608540858,0.9985172979538,
9,0.9996410624551328,0.9986807387862796,0.9986623847686772,0.99866556815842,
std_dev,0.0001610808817868,0.0009273714563088,0.0008191563176406,0.000598460450849,-
std_dev,0.3014,0.301,0.3007,0.3009,-
