no,Accuracy,Precision,Recall,F1,Feature
0,0.9569490859052486,0.9632034632034632,0.8882235528942116,0.9241952232606438,
1,0.9687930017692156,0.9705397846990766,0.9221483821043436,0.9455234908159184,
2,0.973887687569622,0.9743711559010791,0.936011984166258,0.9546158396350582,
3,0.9782042461175544,0.9781750750212076,0.9471005022677884,0.962200595874739,
4,0.9805386278749756,0.9797929913402492,0.9535553186472312,0.966321985629853,
5,0.9830286350828912,0.9818305966522916,0.9600759102980948,0.970659760701746,
6,0.984793170265944,0.9834265589242234,0.9645437276939663,0.973733479873774,
7,0.9862762925103205,0.98470894028834,0.9683518016656648,0.9763101104864929,
8,0.9874516742022148,0.9860368343274072,0.9710550797093186,0.9783497278398456,
9,0.9885590721446824,0.9871670164967956,0.9737166266468726,0.9802652125504542,
std_dev,0.0099156060474298,0.007602641062804,0.0267524148746407,0.0175672513437807,-
std_dev,0.2923,0.293,0.2791,0.2856,-
