no,Accuracy,Precision,Recall,F1,Feature
0,0.9932180066837036,0.9906448379552288,0.9863606121091152,0.9884980830138356,
1,0.9952329467269512,0.9939859672569328,0.9898525190329268,0.991914930136461,
2,0.9956752506388834,0.994544754503176,0.9907954473748012,0.9926664807162168,
3,0.9961666994299194,0.9954073964821264,0.9915990813713672,0.9934995270926812,
4,0.9964812266561826,0.9959252494060684,0.9921481939061424,0.9940330827639632,
5,0.996821964484634,0.9963820040358554,0.9928467339678196,0.9946111105325214,
6,0.9970372658597546,0.9966132415228072,0.993345865119456,0.9949766616521948,
7,0.9972847454295264,0.996870086165956,0.9939280479529018,0.9953965230202376,
8,0.997488150623594,0.9971068542587388,0.9943809306265758,0.9957416034213286,
9,0.9977000196579516,0.9973296130924322,0.9948762818234856,0.996100887338763,
std_dev,0.001343071451421,0.0020217437143961,0.0025437010347659,0.002278328584127,-
std_dev,0.3,0.2995,0.2983,0.2989,-
