no,Accuracy,Precision,Recall,F1,Feature
0,0.9528209160605464,0.9579405366207396,0.8789088489687292,0.9167244968771686,
1,0.96461568704541,0.9670860106458848,0.9110018454494228,0.9380508063261944,
2,0.97021820326322,0.9715749112255404,0.9260305050833808,0.9480891176417512,
3,0.9747886770198544,0.9757231036355176,0.937700915418193,0.9561615891955932,
4,0.977609593080401,0.9776264533881188,0.945569913971281,0.961154425857894,
5,0.9803748116112968,0.980019372479411,0.9527003858801164,0.9659895261323426,
6,0.9823920918868824,0.9816364774483272,0.958031753622934,0.969516607333524,
7,0.9840647729506584,0.9829761331928184,0.9624458376646596,0.9724331348593748,
8,0.9854094314483542,0.9843482897903888,0.9656944445982012,0.9747740180030894,
9,0.9867013957145666,0.9856802829299374,0.968792221436218,0.977013613039804,
std_dev,0.010710091518576,0.008729093659852,0.0284394198774182,0.0190346400265369,-
std_dev,0.2912,0.2919,0.2764,0.2837,-
